month,no_of_rainy_days,total_rainfall,mean_temp,mean_re_humid,year
02,15,133.5,27.0,84.5,1994
03,19,288.2,26.8,87.1,1994
04,15,154.0,27.9,84.8,1994
05,16,169.6,28.1,84.8,1994
06,14,184.7,28.1,83.5,1994
07,6,53.8,28.4,78.9,1994
08,12,45.1,28.1,80.0,1994
09,6,23.7,28.3,78.7,1994
10,11,84.7,27.9,81.5,1994
11,21,322.2,26.7,88.4,1994
12,18,425.4,26.9,85.5,1994
01,21,349.4,26.8,86.2,1995
02,16,334.0,26.5,87.5,1995
03,10,67.7,27.6,83.9,1995
04,16,242.3,27.9,85.3,1995
05,11,84.4,28.5,83.7,1995
06,12,63.7,28.9,81.9,1995
07,13,173.6,28.0,82.6,1995
08,21,211.6,27.4,85.6,1995
09,7,29.5,28.3,81.6,1995
10,12,101.1,27.8,82.8,1995
11,20,372.8,27.0,86.8,1995
12,20,302.5,26.3,86.6,1995
01,10,173.2,26.2,84.2,1996
02,11,180.2,26.5,84.6,1996
03,8,129.7,27.8,81.0,1996
04,15,178.2,27.8,85.5,1996
05,15,107.5,28.5,83.7,1996
06,15,265.8,28.3,84.3,1996
07,10,162.3,28.3,81.9,1996
08,18,258.4,27.4,83.4,1996
09,18,297.0,27.7,82.2,1996
10,19,300.0,27.5,83.0,1996
11,16,180.2,27.3,83.5,1996
12,15,185.5,26.6,82.9,1996
01,3,15.4,27.1,77.3,1997
02,8,105.4,27.4,80.8,1997
03,10,34.3,28.1,79.6,1997
04,12,118.4,28.1,82.7,1997
05,6,41.6,29.3,77.7,1997
06,12,78.9,29.3,76.7,1997
07,9,18.6,28.8,76.5,1997
08,9,86.6,28.8,78.2,1997
09,3,31.1,28.8,77.0,1997
10,8,78.4,28.2,81.0,1997
11,13,158.3,27.8,82.8,1997
12,23,351.9,27.3,85.3,1997
01,13,268.8,28.0,83.2,1998
02,5,32.5,28.9,78.3,1998
03,7,58.8,29.5,77.8,1998
04,13,187.7,29.2,81.8,1998
05,18,370.8,29.4,82.3,1998
06,15,198.8,28.6,82.1,1998
07,18,259.2,28.1,81.8,1998
08,18,195.0,27.5,85.4,1998
09,17,258.2,27.9,84.1,1998
10,20,222.7,28.0,82.3,1998
11,11,107.2,27.9,81.9,1998
12,22,463.4,26.6,88.5,1998
01,19,193.9,26.6,88.3,1999
02,9,67.4,27.2,82.4,1999
03,16,181.4,27.1,87.5,1999
04,14,88.5,28.3,82.6,1999
05,13,157.1,28.0,84.4,1999
06,13,103.4,28.2,81.9,1999
07,11,225.4,27.8,82.7,1999
08,13,204.0,27.5,84.1,1999
09,13,125.9,27.9,81.7,1999
10,20,205.0,27.2,84.6,1999
11,19,241.5,27.3,84.4,1999
12,17,340.5,26.8,85.3,1999
01,14,275.2,26.3,86.9,2000
02,18,237.8,26.6,86.5,2000
03,15,238.3,27.2,85.8,2000
04,20,311.6,27.5,85.6,2000
05,10,96.8,28.6,82.4,2000
06,16,157.5,27.6,84.3,2000
07,12,116.1,28.1,82.6,2000
08,18,113.5,27.5,83.8,2000
09,12,81.1,28.0,82.2,2000
10,14,120.9,27.8,82.1,2000
11,21,385.7,27.3,87.1,2000
12,18,236.0,27.0,87.6,2000
01,21,425.8,26.5,87.4,2001
02,11,86.6,27.0,83.6,2001
03,20,297.3,27.5,84.5,2001
04,18,203.3,27.7,86.0,2001
05,12,164.9,28.5,85.0,2001
06,11,137.1,28.2,82.5,2001
07,9,111.3,28.4,80.8,2001
08,14,158.3,28.0,83.7,2001
09,13,162.0,28.0,82.3,2001
10,20,252.2,27.6,83.7,2001
11,15,175.3,27.2,84.9,2001
12,20,609.0,26.7,86.8,2001
01,11,221.2,27.0,83.6,2002
02,2,50.8,27.3,80.9,2002
03,8,55.6,28.2,80.8,2002
04,13,116.5,28.6,82.3,2002
05,13,236.6,28.9,82.3,2002
06,12,83.1,28.7,82.1,2002
07,11,233.7,28.4,82.7,2002
08,14,54.2,28.5,79.2,2002
09,9,124.2,28.1,81.7,2002
10,7,10.8,28.7,79.8,2002
11,15,307.2,27.4,85.8,2002
12,24,255.0,27.2,88.7,2002
01,20,444.2,26.7,86.9,2003
02,13,172.9,27.1,85.0,2003
03,11,154.6,28.1,83.8,2003
04,20,159.9,27.9,86.7,2003
05,11,81.8,29.2,81.7,2003
06,12,50.3,28.9,78.5,2003
07,14,170.4,28.1,81.7,2003
08,13,193.6,28.2,83.1,2003
09,15,205.3,27.6,84.8,2003
10,21,351.4,27.6,84.9,2003
11,19,133.8,27.1,87.3,2003
12,17,273.0,26.5,87.2,2003
01,13,600.9,26.9,86.7,2004
02,4,31.9,27.6,80.5,2004
